season,fbrefSeason,league,sourceFile,Player,Squad,ScreenshotSource,statType,Pos,90s,Gls,Sh,SoT,PK,PKatt,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,CS,CS%,Ast,CrdY,CrdR
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 125707.png,Dani Ceballos,Real Madrid,true,shooting,mF,5.2,0,3,0,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 125707.png,David Alabe,Real Madrid,true,shooting,pr,2.9,,0,3,0,,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 125707.png,Ferland Mendy,Real Madrid,true,shooting,pF,2.3,0,0,0,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 125707.png,Manuel Ange,Real Madrid,true,shooting,mr,1.1,0,2,1,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 125707.png,Victor Valdevefias,Real Madrid,true,shooting,oF,0.9,0,0,0,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 125707.png,David Jim̩nez,Real Madrid,true,shooting,pr,0.8,0,1,1,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 125707.png,C̩sar Palacios,Real Madrid,true,shooting,mr,0.8,,0,2,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 125707.png,Daniel Yafiez,Real Madrid,true,shooting,mr,0.4,0,0,0,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 125707.png,Diego Aguado,Real Madrid,true,shooting,pr,0.3,0,0,0,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 125707.png,lJorge Cestero,Real Madrid,true,shooting,mr,0.1,0,0,0,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 125707.png,Endrick,Real Madrid,true,shooting,Fw,0.1,0,0,0,0,,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130053.png,Gianluigi Donnarumma,Man City,true,standard,GK,0,0,,,0,7,33,33,2.97033,,,,,,,,0,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130053.png,Evling Haaland,Man City,true,standard,rw,31.8,26,,,3,4,34,33,2863,,,,,,,,8,2,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130053.png,Bernardo Silve,Man City,true,standard,mF,30.7,2,,,0,0,36,32,2759,,,,,,,,4,10,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130053.png,Matheus Nunes,Man City,true,standard,pr,3.4,5,,,0,5,33,312772,308,,,,,,,,6,0,3
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130053.png,Nico O'Reilly,Man City,true,standard,DFMF,28.4,5,,,0,0,33,28,2556,,,,,,,,3,5,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130053.png,Ruben Dias,Man City,true,standard,Fr,22.8,2,,,0,0,25,23,2051,,,,,,,,0,3,0.08
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130053.png,Phil Foden,Man City,true,standard,mF,21.8,7,,,0,0,31,22,1961,,,,,,,,5,4,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130053.png,Ravan Cherki,Man City,true,standard,mr,19.1,4,,,0,0,31,19,1718,,,,,,,,12,1,21
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130053.png,Jeremy Doku,Man City,true,standard,mrrw,18.8,5,,,0,0,28,18,1695,,,,,,,,5,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130053.png,Tiiani Rejinders,Man City,true,standard,mr,17.3,5,,,0,0,27,18,1555,,,,,,,,2,2,0.28
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130053.png,Nico Gonzalez,Man City,true,standard,MF,16.4,1,,,0,0,24,16,1479,,,,,,,,0,6,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130053.png,Rodsi,Man City,true,standard,mr,15.8,1,,,0,0,20,16,1421,,,,,,,,0,2,0.06
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130053.png,Jantoine Semenyo,Man City,true,standard,MF,14.3,6,,,0,0,15,15,1285,,,,,,,,1,4,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130053.png,JAbdukodir Khusanov,Man City,true,standard,pF,14.9,0,,,0,0,20,14,1342,,,,,,,,0,2,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130053.png,Marc Gu̩hi,Man City,true,standard,oF,14,1,,,0,0,14,14,1260,,,,,,,,1,2,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130053.png,omarMarmoush,Man City,true,standard,FWMF,7.6,3,,,0,0,20,8,685,,,,,,,,3,3,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130053.png,Nathan Ak̩,Man City,true,standard,or,6.9,0,,,0,0,17,5,619,,,,,,,,0,1,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130053.png,Joscar Bobb,Man City,true,standard,mrrw,5.2,0,,,0,0,9,5,468,,,,,,,,1,12,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130053.png,ohn Stones,Man City,true,standard,or,48.5,0,,,,0,,8,4362,,,,,,,,0,,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130053.png,Rico Lewis,Man City,true,standard,pF,3.5,0,,,0,0,10,3,317,,,,,,,,1,1,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130053.png,ames Trafford,Man City,true,standard,ck,36.3,0,,,,0,,3,3270,,,,,,,,0,,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130053.png,Max Alleyne,Man City,true,standard,oF,1.5,0,,,0,0,2,2,135,,,,,,,,0,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130053.png,Mateo Kovadi̩,Man City,true,standard,mr,0.5,0,,,,0,,4,43,,,,,,,,1,,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130053.png,Divine Mukasa,Man City,true,standard,mF,0.3,0,,,0,0,2,0,27,,,,,,,,0,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130155.png,Gianluigi Donnarumma,Man City,true,shooting,GK,33,0,0,0,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130155.png,lEciing Haaland,Man City,true,shooting,Fw,31.8,26,124,58,3,4,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130155.png,Bernardo Silva,Man City,true,shooting,mF,30.7,2,28,6,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130155.png,Matheus Nunes,Man City,true,shooting,pF,30.8,1,7,2,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130155.png,Nico O'Reilly,Man City,true,shooting,DRMF,28.4,5,39,14,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130155.png,Ruben Dias,Man City,true,shooting,pF,22.8,2,10,4,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130155.png,Phil Foden,Man City,true,shooting,MF,21.8,7,55,19,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130155.png,Rayan Cherki,Man City,true,shooting,MF,19.1,4,53,13,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130155.png,Jeremy Doku,Man City,true,shooting,MFFw,18.8,5,36,14,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130155.png,Tiiani Rejinders,Man City,true,shooting,mr,17.3,5,45,15,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130155.png,Nico Gonzalez,Man City,true,shooting,MF,16.4,1,13,2,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130155.png,Rodsi,Man City,true,shooting,mr,15.8,1,12,2,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130155.png,soko Gvardiol,Man City,true,shooting,pr,15.1,2,17,6,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130155.png,Jantoine Semenyo,Man City,true,shooting,MFFW,14.3,6,32,12,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130155.png,JAbdukodir Khusanov,Man City,true,shooting,oF,14.8,0,6,1,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130155.png,Mare Gu̩hi,Man City,true,shooting,DF,14,1,17,5,0,,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130155.png,Ravan Ait-Nouri,Man City,true,shooting,pF,10.7,0,10,2,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130155.png,omarMarmoush,Man City,true,shooting,FWMF,7.6,3,29,9,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130155.png,savio,Man City,true,shooting,mr,7.9,1,17,11,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130155.png,Nathan Ak̩,Man City,true,shooting,oF,6.9,0,6,1,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130155.png,Joscar Bobb,Man City,true,shooting,Mrrw,5.2,0,4,0,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130155.png,ohn Stones,Man City,true,shooting,oF,4,0,0,0,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130155.png,Rico Lewis,Man City,true,shooting,DF,3.5,,0,2,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130155.png,James Trafford,Man City,true,shooting,ck,3,,0,0,,,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130155.png,Max Alleyne,Man City,true,shooting,DF,1.5,0,2,1,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130155.png,Mateo Kovadi̩,Man City,true,shooting,mF,0.5,0,1,0,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130155.png,Divine Mukasa,Man City,true,shooting,MF,0.3,0,0,0,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130840.png,Enzo Fern̩ndez,Chelsea,true,standard,,32.6,9,,,2,2,34,33,2935,,,,,,,,3,9,0.28
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130840.png,Robert S̩nchez,Chelsea,true,standard,,31.8,0,,,0,3,33,33,2859,,,,,,,,1,1,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130840.png,-Teevoh Chalobah,Chelsea,true,standard,,30.4,3,,,0,0,32,31,2740,,,,,,,,0,3,1
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130840.png,Jodo Pedro,Chelsea,true,standard,,28.6,15,,,0,0,34,30,2571,,,,,,,,5,4,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130840.png,Mare Cucurella,Chelsea,true,standard,,28.1,1,,,0,0,32,29,2527,,,,,,,,4,7,1
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130840.png,Pedro Neto,Chelsea,true,standard,,27.5,5,,,0,0,32,28,2479,,,,,,,,4,4,1
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130840.png,Malo Gusto,Chelsea,true,standard,,24.2,2,,,0,0,33,25,2177,,,,,,,,3,5,1
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130840.png,Cole Palmer,Chelsea,true,standard,,0.2,1,,,6,4,24,221777,19.7,,,,,,,,10,10.46,0.05
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130840.png,Reece James,Chelsea,true,standard,,21.4,2,,,0,4,28,20,1924,,,,,,,,4,0,0.09
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130840.png,Wesley Fofana,Chelsea,true,standard,,17.6,0,,,0,7,23,18,1581,,,,,,,,1,1,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130840.png,Alejandro Garnacho,Chelsea,true,standard,,14.1,1,,,0,0,23,14,1266,,,,,,,,4,2,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130840.png,Andrey Santos,Chelsea,true,standard,,13,0,,,0,0,26,12,1170,,,,,,,,0,4,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130840.png,Est̩vlo Willan,Chelsea,true,standard,,9.4,2,,,0,0,22,12,848,,,,,,,,2,4,21
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130840.png,Liam Dela,Chelsea,true,standard,,11.3,1,,,0,0,26,11,1013,,,,,,,,0,3,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130840.png,Jorrel Hato,Chelsea,true,standard,,11.2,0,,,0,0,20,10,1007,,,,,,,,0,6,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130840.png,Tosin Adarabioyo,Chelsea,true,standard,,8.8,0,,,2,0,16,8,795,,,,,,,,0,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130840.png,Joshua Acheampong,Chelsea,true,standard,,1,1,,,0,6,15,7,87,,,,,,,,0,1,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130840.png,Jamie Gittens,Chelsea,true,standard,,5.5,0,,,0,0,16,5,495,,,,,,,,2,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130840.png,Rom̩o Lavia,Chelsea,true,standard,,4.2,0,,,0,0,12,4,382,,,,,,,,0,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130840.png,Filip Jorgensen,Chelsea,true,standard,,4.2,0,,,0,0,5,3,379,,,,,,,,0,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130840.png,Mare Guiu,Chelsea,true,standard,,14,0,,,,0,,8,1257,,,,,,,,1,1,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130840.png,Levi Colwill,Chelsea,true,standard,,1.5,0,,,0,0,2,1,135,,,,,,,,0,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130840.png,Mamadou Sart,Chelsea,true,standard,,1,0,,,0,0,2,1,92,,,,,,,,0,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130840.png,Facundo Buonanotte,Chelsea,true,standard,,0.5,0,,,0,0,1,1,45,,,,,,,,0,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130840.png,Jesse Derry,Chelsea,true,standard,,1.6,0,,,,6,,1,144,,,,,,,,0,6,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130840.png,Twrique George,Chelsea,true,standard,,1.6,0,,,2,0,4,0,145,,,,,,,,0,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130840.png,Dario Essuso,Chelsea,true,standard,,0.3,0,,,,0,,2,28,,,,,,,,0,1,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130849.png,Jamie Gittens,Chelsea,true,standard,MF,5.5,0,,,0,0,16,5,495,,,,,,,,2,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130849.png,nom̩e Lava,Chelsea,true,standard,mr,48.5,0,,,,0,12,,4362,,,,,,,,0,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130849.png,Levi Colwill,Chelsea,true,standard,oF,4.8,9,,,0,0,2,1,435,,,,,,,,9,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130849.png,Jesse Derry,Chelsea,true,standard,MF,1.6,,,,,0,,1,144,,,,,,,,9,,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 130849.png,Tyrique George,Chelsea,true,standard,FW,0.2,0,,,2,0,4,1,16,,,,,,,,9,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131018.png,Robert Sanchez HEQESP,Chelsea,true,goalkeeping,GK,31.8,,,,,,33,33,2859,46,145,135,90,674,9,273,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131018.png,Flip teraensen SEEN,Chelsea,true,goalkeeping,GK,4.2,,,,,,5,3,379,5,119,13,8,615,0,0,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131028.png,Enzo Fern̩ndez,Chelsea,true,shooting,MF,32.6,9,70,30,2,2,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131028.png,mobert Sinchez,Chelsea,true,shooting,GK,31.8,0,0,0,,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131028.png,teevoh chalobah,Chelsea,true,shooting,DF,30.4,3,16,5,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131028.png,mois̩s Caicedo,Chelsea,true,shooting,MF,29.1,3,26,7,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131028.png,merccucurella,Chelsea,true,shooting,DF,28.1,1,20,6,0,,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131028.png,edro weto,Chelsea,true,shooting,mF,27.5,5,44,12,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131028.png,Mato Gusto,Chelsea,true,shooting,pF,24.2,2,12,6,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131028.png,ccole Balmer,Chelsea,true,shooting,MF,19.7,9,58,22,5,6,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131028.png,Reece James,Chelsea,true,shooting,DEMF,21.4,2,21,6,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131028.png,wesley Fofana,Chelsea,true,shooting,pF,17.6,0,8,1,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131028.png,alejandro Gamacho,Chelsea,true,shooting,MF,14.1,1,33,7,0,,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131028.png,Jandrey Santos,Chelsea,true,shooting,MF,13,0,10,1,0,,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131028.png,lestev̩owilian,Chelsea,true,shooting,MF,9.4,2,28,8,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131028.png,Liam Delap,Chelsea,true,shooting,FW,11.3,1,35,11,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131028.png,orrel Hato,Chelsea,true,shooting,pF,11.2,0,4,0,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131028.png,tosinaAdarabiove,Chelsea,true,shooting,DF,8.8,0,2,0,,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131028.png,toshua Acheampong,Chelsea,true,shooting,DF,6.5,1,3,2,0,,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131028.png,Benoit Badiashile,Chelsea,true,shooting,DF,5.2,0,0,0,,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131028.png,amie cittens,Chelsea,true,shooting,MF,5.5,0,19,2,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131028.png,Rom̩o Lavia,Chelsea,true,shooting,mr,4.2,0,3,0,,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131028.png,elipsorgensen,Chelsea,true,shooting,GK,4.2,0,0,0,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131028.png,mare Guiu,Chelsea,true,shooting,Fw,2.9,0,12,2,0,,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131028.png,Levi cotwit,Chelsea,true,shooting,oF,1.5,0,0,0,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131028.png,emadousarr,Chelsea,true,shooting,DF,1,0,1,0,,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131028.png,racundo Buonanotte,Chelsea,true,shooting,MF,0.5,0,0,0,,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131028.png,tesse Derry,Chelsea,true,shooting,MF,0.5,0,2,1,0,,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131028.png,twiue George,Chelsea,true,shooting,FW,1.6,0,3,2,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131028.png,Dario Essugo,Chelsea,true,shooting,mF,0.3,0,0,0,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131250.png,vigil van Dijk,Liverpool,true,standard,,36,4,,,0,0,36,36,3240,,,,,,,,0,4,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131250.png,Dominik Szobosziai,Liverpool,true,standard,,33.9,6,,,0,1,34,34,3051,,,,,,,,5,8,1
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131250.png,Ibrahima Konat̩,Liverpool,true,standard,,32.4,1,,,0,0,34,34,2912,,,,,,,,0,6,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131250.png,JRyanGravenberch,Liverpool,true,standard,,31.6,5,,,0,0,34,32,2845,,,,,,,,3,5,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131250.png,Cody Gakpo,Liverpool,true,standard,,28.6,7,,,0,0,34,30,2574,,,,,,,,5,3,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131250.png,Alexis Mac Allister,Liverpool,true,standard,,27.5,2,,,0,0,35,29,2478,,,,,,,,4,6,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131250.png,Florian Wirtz,Liverpool,true,standard,,25.9,5,,,0,0,31,27,2335,,,,,,,,3,1,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131250.png,Alisson,Liverpool,true,standard,,25,0,,,0,0,25,25,2250,,,,,,,,0,1,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131250.png,Mohamed Salah,Liverpool,true,standard,,22.8,7,,,1,2,25,22,2056,,,,,,,,6,1,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131250.png,Hugo ekitike,Liverpool,true,standard,,20,11,,,0,0,28,21,1803,,,,,,,,4,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131250.png,Curtis Jones,Liverpool,true,standard,,19.5,0,,,0,0,32,16,1757,,,,,,,,2,2,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131250.png,Jeremie Frimpong,Liverpool,true,standard,,11.4,0,,,0,0,20,12,1023,,,,,,,,1,1,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131250.png,Conor Bradley,Liverpool,true,standard,,10.3,0,,,0,0,15,12,928,,,,,,,,1,5,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131250.png,andrew Robertson,Liverpool,true,standard,,12.2,1,,,0,0,23,10,1098,,,,,,,,0,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131250.png,Giorgi Mamardashvili,Liverpool,true,standard,,8.6,0,,,0,0,9,9,777,,,,,,,,0,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131250.png,Alexander Isak,Liverpool,true,standard,,7.8,3,,,0,0,14,8,699,,,,,,,,1,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131250.png,Joe Gomez,Liverpool,true,standard,,0.7,2,,,0,3,19,6,60,,,,,,,,2,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131250.png,Rio Naumoha,Liverpool,true,standard,,4.4,2,,,0,0,17,3,398,,,,,,,,1,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131250.png,Freddie Woodman,Liverpool,true,standard,,2.5,0,,,,0,29071,3,223,,,,,,,,0,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131250.png,Federico Chiesa,Liverpool,true,standard,,3.5,2,,,0,0,25,1,314,,,,,,,,1,3,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131250.png,Wataru Endo,Liverpool,true,standard,,13.1,0,,,,0,3309,8,1175,,,,,,,,1,12,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131250.png,Trey Nyoni,Liverpool,true,standard,,0.2,0,,,0,0,5,0,16,,,,,,,,0,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131250.png,Harvey Elliott,Liverpool,true,standard,,0,0,,,0,0,1,1,0,,,,,,,,0,0,0
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131549.png,alisson HBisxe,Liverpool,true,goalkeeping,GK,25,,,,,,25,25,2250,30,120,84,568,66.7,8,320,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131549.png,Freddie Woodman FRENG,Liverpool,true,goalkeeping,GK,2.4,,,,,,3,2,213,4,169,13,9,692,0,0,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131609.png,Virgil van Diik,Liverpool,true,shooting,pr,36,4,27,12,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131609.png,Dominik Szoboszisi,Liverpool,true,shooting,MFDF,33.9,6,68,21,0,1,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131609.png,brahima Konat̩,Liverpool,true,shooting,DF,32.4,1,10,3,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131609.png,Javan Gravenberch,Liverpool,true,shooting,MF,31.6,5,35,11,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131609.png,Cody Gakpo,Liverpool,true,shooting,mew,28.6,7,83,21,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131609.png,alexis Mac Alister,Liverpool,true,shooting,MF,27.5,2,47,11,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131609.png,Florian Wirtz,Liverpool,true,shooting,Mr,25.9,5,48,17,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131609.png,Milos Kerkez,Liverpool,true,shooting,pr,24,2,8,2,,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131609.png,Jalisson,Liverpool,true,shooting,Gk,25,0,0,0,,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131609.png,Mohamed Saish,Liverpool,true,shooting,MF,22.8,7,64,17,1,1,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131609.png,Hugo ekitike,Liverpool,true,shooting,rw,20,11,65,19,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131609.png,Curtis Jones,Liverpool,true,shooting,MFDF,19.5,0,19,6,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131609.png,eremie Frimpong,Liverpool,true,shooting,DFMF,11.4,0,10,2,0,0,,,,,,,,,,,,,
2025-26,2025-2026,EPL,Screenshot 2026-05-14 131609.png,Conor Bradley,Liverpool,true,shooting,DF,10.3,0,6,0,,0,,,,,,,,,,,,,
